,host_since,host_response_rate,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating
19103,20170904.0,1.0,-33.60407421787237,151.32931831105128,6.0,1.0,2.0,2.0,193.0,900.0,94.0,4.0,50.0,1.0,177.0,25.0,94.0
19104,20150315.0,0.0,-33.88737910035822,151.23091816746393,2.0,1.0,1.0,1.0,249.0,0.0,118.0,1.0,0.0,2.0,1125.0,3.0,67.0
19105,20170606.0,1.0,-33.91830759887629,151.1033156418703,4.0,1.0,2.0,3.0,200.0,0.0,80.0,6.0,30.0,1.0,30.0,6.0,83.0
19106,20160825.0,0.5,-33.866893381716054,151.22489952934092,2.0,1.0,1.0,1.0,120.0,200.0,65.0,1.0,0.0,3.0,1125.0,3.0,93.0
19107,20170904.0,0.0,-33.803294043424536,151.2861607603924,2.0,1.0,1.0,1.0,94.0,0.0,50.0,1.0,20.0,3.0,1125.0,3.0,87.0
19108,20140516.0,1.0,-33.915622937004954,151.2570672923309,6.0,2.0,3.0,3.0,249.0,300.0,150.0,1.0,0.0,2.0,365.0,1.0,0.0
19109,20160609.0,1.0,-33.84728962252257,151.07274024925286,6.0,2.0,2.0,2.0,208.0,0.0,69.0,3.0,29.0,1.0,1125.0,16.0,94.0
19110,20170903.0,1.0,-33.70591382038026,151.30088083799782,5.0,1.0,2.0,3.0,351.0,350.0,125.0,5.0,50.0,7.0,1125.0,1.0,100.0
19111,20141007.0,0.0,-33.90422021636069,151.1360812742126,4.0,1.0,2.0,4.0,240.0,0.0,0.0,1.0,0.0,3.0,1125.0,1.0,80.0
19112,20170630.0,1.0,-33.82598192326053,151.07636423492022,6.0,1.0,2.0,3.0,136.0,350.0,110.0,2.0,15.0,1.0,90.0,17.0,93.0
19113,20150527.0,0.0,-33.891952407774895,151.2103735143079,5.0,1.5,2.0,4.0,301.0,0.0,0.0,1.0,0.0,5.0,15.0,0.0,0.0
19114,20130921.0,1.0,-33.910675996157515,151.17910694505713,3.0,1.5,2.0,2.0,160.0,0.0,80.0,2.0,25.0,1.0,1125.0,5.0,100.0
19115,20150910.0,0.5,-33.795998283222254,151.2514999432533,2.0,1.0,1.0,1.0,94.0,0.0,0.0,1.0,0.0,5.0,60.0,4.0,95.0
19116,20101217.0,1.0,-33.80891142602475,151.16069484113126,1.0,2.0,1.0,1.0,351.0,0.0,20.0,1.0,0.0,1.0,1125.0,4.0,95.0
19117,20150903.0,0.0,-33.90570612596483,151.22352334078303,2.0,1.0,1.0,1.0,90.0,0.0,0.0,1.0,0.0,1.0,1125.0,0.0,0.0
19118,20160118.0,0.0,-33.890278516044745,151.27378193671646,2.0,1.0,1.0,1.0,150.0,500.0,100.0,1.0,0.0,6.0,1125.0,14.0,99.0
19119,20170902.0,0.4,-33.88532147509429,151.26013213101552,8.0,3.0,4.0,4.0,574.0,0.0,460.0,8.0,0.0,1.0,1125.0,0.0,0.0
19120,20170905.0,0.0,-33.877446986143305,151.20642082953378,1.0,1.0,0.0,0.0,708.0,0.0,0.0,1.0,0.0,1.0,1125.0,0.0,0.0
19121,20120731.0,0.0,-33.89112006837577,151.27236695859085,2.0,1.0,1.0,1.0,280.0,500.0,200.0,1.0,0.0,7.0,1125.0,1.0,100.0
19122,20160504.0,0.0,-33.826082460255435,151.07695008481042,2.0,1.0,1.0,1.0,50.0,0.0,20.0,1.0,10.0,1.0,1125.0,12.0,90.0
19123,20170905.0,0.0,-33.8916662693397,151.26554233636386,1.0,1.0,1.0,1.0,108.0,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0
19124,20160518.0,1.0,-33.88951405363481,151.20726348508208,2.0,1.0,1.0,1.0,85.0,250.0,55.0,2.0,40.0,3.0,20.0,15.0,97.0
19125,20170613.0,0.0,-33.91235775983909,151.26866348265958,6.0,2.0,4.0,4.0,700.0,1000.0,100.0,1.0,0.0,5.0,21.0,1.0,100.0
19126,20150518.0,1.0,-33.92065314299954,151.24830135196387,4.0,1.0,2.0,2.0,107.0,0.0,80.0,1.0,0.0,14.0,30.0,2.0,100.0
19127,20140218.0,0.0,-33.86391711629659,151.27902013179062,3.0,2.5,2.0,2.0,301.0,500.0,100.0,1.0,0.0,10.0,18.0,0.0,0.0
19128,20160427.0,0.0,-33.87462680106884,151.16851632521417,2.0,1.0,1.0,1.0,42.0,0.0,0.0,1.0,0.0,17.0,17.0,1.0,0.0
19129,20170315.0,0.0,-33.86885617536717,151.22535460637988,4.0,1.0,2.0,2.0,140.0,0.0,0.0,1.0,0.0,5.0,27.0,2.0,100.0
