,price
11000,200.0
20151,500.0
30358,150.0
17290,650.0
20605,290.0
13489,500.0
7516,120.0
16215,90.0
638,320.0
4208,50.0
10193,80.0
12092,181.0
1506,150.0
18758,40.0
23969,301.0
886,120.0
11333,67.0
21303,120.0
11856,133.0
19497,100.0
18763,82.0
21056,200.0
8216,200.0
24285,120.0
2817,150.0
29933,183.0
9403,275.0
17035,258.0
29264,100.0
14557,360.0
21224,450.0
14480,85.0
19685,61.0
1352,120.0
26485,249.0
30115,164.0
30458,78.0
26372,240.0
3257,140.0
1376,75.0
20441,98.0
11989,150.0
15204,249.0
22446,150.0
20668,169.0
6371,220.0
24003,181.0
22180,75.0
18387,70.0
1876,111.0
12193,220.0
26736,50.0
9588,500.0
1287,150.0
30665,44.0
19580,390.0
10209,98.0
13899,400.0
14186,181.0
30589,85.0
5234,55.0
5550,94.0
11601,70.0
5452,700.0
25473,169.0
29940,100.0
12644,120.0
6039,140.0
2424,200.0
6366,200.0
19969,80.0
14962,55.0
26513,111.0
21497,301.0
16172,70.0
28600,249.0
19242,85.0
3675,100.0
15368,80.0
16188,152.0
11150,116.0
23601,80.0
2460,524.0
13670,100.0
18419,450.0
17585,40.0
18335,111.0
11722,164.0
4521,44.0
28598,42.0
27859,90.0
9716,140.0
4104,225.0
982,220.0
4885,32.0
21597,135.0
16637,445.0
17967,150.0
197,111.0
12166,100.0
19651,249.0
17780,85.0
28149,120.0
23468,57.0
29394,70.0
12604,120.0
29506,35.0
13849,50.0
9980,55.0
6164,104.0
17393,150.0
18285,73.0
23520,500.0
20090,100.0
19603,111.0
23555,80.0
5846,94.0
24861,200.0
22182,80.0
27282,90.0
3763,159.0
20957,121.0
27463,39.0
28313,136.0
21544,901.0
29523,290.0
12874,600.0
23641,400.0
25679,144.0
18056,125.0
23015,489.0
24996,375.0
4529,799.0
28925,500.0
3397,94.0
30062,200.0
13464,90.0
5581,115.0
18918,249.0
9954,80.0
12226,115.0
19332,146.0
13859,301.0
21550,351.0
10266,125.0
29181,90.0
2201,258.0
19074,55.0
11925,150.0
836,70.0
7910,414.0
22697,65.0
26834,150.0
10171,245.0
26720,190.0
30630,70.0
2187,200.0
28841,164.0
21180,450.0
2616,170.0
7887,140.0
26698,50.0
25564,98.0
5838,70.0
25853,80.0
15423,65.0
15866,55.0
710,84.0
17632,50.0
10431,248.0
24924,100.0
5753,75.0
14351,200.0
15361,120.0
9874,70.0
3106,92.0
9364,115.0
11002,61.0
7499,150.0
26778,301.0
30262,57.0
16926,50.0
3186,169.0
7832,198.0
24917,135.0
11914,90.0
17316,200.0
3171,500.0
29799,100.0
694,775.0
18442,454.0
13036,55.0
11310,506.0
6310,290.0
24636,290.0
2338,301.0
18643,129.0
25286,152.0
2622,125.0
4943,80.0
14174,67.0
29988,111.0
6782,150.0
14368,80.0
614,65.0
17120,50.0
17330,75.0
21938,150.0
10825,200.0
24556,63.0
2849,170.0
6863,162.0
23775,63.0
23250,63.0
1837,120.0
8640,49.0
11618,155.0
28712,160.0
4624,260.0
20444,650.0
8591,200.0
25614,495.0
22912,249.0
21113,500.0
11069,200.0
21681,630.0
28111,169.0
6438,90.0
